rep,year,observational,main.H,secondary.H,number.H.test,latin.name,target.taxa,target species,risk.status,where listed,other.taxa,total number of species in study,n total,n males,n females,life stages,duration of tracking,duration in days,duration in hours,device,device attachment method,telemetry method,range in square kilometers,scale,rate of loss,recapture rate,lat,long,desert,country,statistics,what method was used to calculate home range,
26,2010,1,behavior,human impact,2,Ovis canadensis meicana,large mammal,desert bighorn sheep,least concern,IUCN Red List of Endangered Species,1,2,37,0,37,adult,2 years,720,17280,gps,collar,relocation,,local ,,,32.286373,-113.24504,sonoran,USA,generalized linear mixed models,least cost route (not home range just location based),
27,1994,1,behavior,,1,Odocoileus hemionus,large mammal,mule deer,least concern,IUCN Red List of Endangered Species,0,1,9,0,9,adult,1 year,365,8760,vhf,collar,behavior,,local,,,33.284077,-112.429723,sonoran,USA,Chi- Square,minimum convex polygon,
28,2000,1,behavior,,1,Ammodramus bairdii,bird,Baird's sparrow,least concern,IUCN Red List of Endangered Species,1,4,20,,,adult,7 weeks,49,1176,vhf,leg band,relocation,32,local,,,31.659813,-110.525356,sonoran,USA,linear regression,none,
29,2003,1,behavior,migration,3,Pernis apivorus,bird,honey buzzard,least concern,IUCN Red List of Endangered Species,0,1,10,,,adult and juvinile,3 years,1080,25920,gps,backpack,relocation,,global,,,14.28704,1.713058,Sahara,West Africa (regional),mann-whitney test,none,
30,2006,1,methodological,reintroduction,2,"Lagostrophus
Lagostrophus fasciatus",large mammal,hare-wallaby,endangered,IUCN Red List of Endangered Species,1,2,34,21,13,adult,4 weeks,28,672,vhf,collar,relocation,0.03,local,1,,-26.702449,114.115034,peron pennisula,Australia,"regression, chi squared","none (movement, dispersal)",
31,2010,1,habitat use,methodology,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN Red List of Endangered Species,0,1,41,26,15,adult,2 years ,720,17280,vhf,glued to back,relocation,3.74,local,6,,35.262845,-116.684616,Mojave,USA,ANOVA,"fixed kernal, minimum convex polygon",
32,2006,1,habitat use,behavior,2,"Nesoryzomys
swarthi",small mammal,rice rat,vulnerable,IUCN Red List of Endangered Species,1,2,23,11,12,adult,3 months,90,2160,vhf,collar,relocation,,local,,,-0.251637,-90.669302,galapagos islands,galapagos,GLM,minimun convex polygon,
33,2006,1,habitat use,,1,Sminthopsis youngsoni,small mammal,lesser hairy-footed dunnart,least concern,IUCN Red List of Endangered Species,0,1,18,7,11,adult,4 days,4,96,vhf,glued to back,relocation,,local,3,,-23.755566,138.463434,simpson desert,Australia,descriptive stats,none (distance measurement only),
34,2000,1,demographics,,1,Gopherus berlandieri,reptile,Berlandierês tortoise ,least concern,IUCN Red List of Endangered Species,0,1,47,19,28,adult,3 years,1080,25920,vhf,glued to back,relocation,61.5,local,,,28.41402,-99.243138,Rio Grande Plains,USA,"linear regression, chi squared",none (survivorship),
35,2005,1,demographics,habitat use,2,Ursus americanus,large mammal,black bear,least concern,IUCN Red List of Endangered Species,0,1,15,6,9,adult,4 year,1440,34560,vhf,collar,relocation,,regional,,,29.127487,-103.242538,Chihuahuian Desert,USA,descriptive stats,none (movement,
36,1998,1,behavior,physiology,2,Leptonycteris curasoae,small mammal,nectar-feeding bat,vulnerable,IUCN Red List of Endangered Species,0,1,8,0,8,adult,14 days,14,336,vhf,glued to back,relocation,,local,4,,28.819223,-111.932969,sonoran,Mexico,ANOVA,mapping,
37,2011,1,methodological,,1,Panthera uncia,large mammal,snow leopard,endangered,IUCN Red List of Endangered Species,0,1,,,,,83 days,83,1992,vhf,logger,data logger,,local,,,43.173455,101.739876,gobi desert,Mongolia,,,
38,2008,1,habitat use,resource selection,2,Equus ferus przewalskii,large mammal,Przewalskiês horse,endangered,IUCN Red List of Endangered Species,1,2,16,,,adult,3 years,1080,25920,gps,collar,relocation,,local,,,45.418918,92.660315,gobi desert,Mongolia,mixed effect logistic model,minimum convex polygon,
39,2014,1,habitat use,,1,Camela ferus,large mammal,wild bactrian camels,critically endangered,IUCN Red List of Endangered Species,0,1,7,4,3,adult,1 year ,365,8760,gps,collar,relocation,28410,regional,5,,43.242048,97.438166,gobi desert,Mongolia,glmm,minimun convex polygon,
40,2013,1,behavior,,1,Otis tarda dybowskii,bird,asian great bustard,vulnerable,IUCN Red List of Endangered Species,0,1,3,0,3,adult,2 years,720,17280,gps,backpack,relocation,,regional,,,50,101,gobi desert,Mongolia,,"minimum convex polygon, kernel density estimate",
41,2011,1,behavior,physiology,2,Dasyuroides byrnei,small mammal,kowari,vulnerable,IUCN Red List of Endangered Species,1,2,14,,,adult,59 days,59,1416,vhf,sugical implant,data logger,,local,,,-24.205987,140.554972,simpson desert,Australia,lmm,,
42,2005,1,behavior,,1,Gerbillus andersoni allenbyi,small mammal,gerbil,vulnerable,IUCN Red List of Endangered Species,0,1,12,6,6,adult,1 month,30,720,vhf,collar,relocation,,local,,,30.713941,34.875748,negev desert,Israel,ANOVA,minimum convex polygon,
43,1993,1,habitat use,behavior,2,Odocoileus hemionus,large mammal,mule deer,least concern,IUCN Red List of Endangered Species,0,1,17,8,9,adult,7 months,210,5040,vhf,collar,relocation,,local,,,33.291797,-112.429146,sonoran,USA,t test,,
44,2004,1,behavior,habitat use,2,Antilocapra americana sonoriensis,large mammal,sonoran pronghorn,endangered,IUCN Red List of Endangered Species,0,1,4,,,adult,5 months,150,3600,vhf,collar,behavior,,local,,,32.664201,-113.47481,sonoran,USA,behavior budgeting,,
45,2012,1,habitat use,behavior,2,Testudo graeca soussensis,reptile,moorish tortoise,vulnerable,IUCN Red List of Endangered Species,1,2,6,3,3,adult,1 year,365,8760,vhf,glued to back,relocation,,local,,6,31.629474,-7.981298,Sahara,Morocco,,minimum convex polygon,
46,2002,1,behavior,habitat use,2,Testudo horsfieldi,reptile,steppe tortoise,vulnerable,IUCN Red List of Endangered Species,0,1,27,13,14,adult,3 months,90,2160,vhf,glued to back,relocation,,local,,27,40,65,Kyzyl Kum Desert,Uzbekistan,ANOVA,,
47,2010,1,behavior,habitat use,2,"Loxodonta
africana",large mammal,african elephant,vulnerable,IUCN Red List of Endangered Species,0,1,8,8,0,adult,3 years,1080,25920,gps,collar,relocation,,regional,,,-27.619823,19.526283,Namib,Namibia,,minimum convex polygon,
48,2006,1,behavior,habitat use,2,"Loxodonta
africana",large mammal,african elephant,vulnerable,IUCN Red List of Endangered Species,0,1,8,5,3,adult and juvinile,2 years,720,17280,gps,collar,relocation,,regional,,,-27.619823,19.526283,Namib,Namibia,t test,"minimum convex polygon, fixed kernal density estimate",
49,2014,1,methodological,behavior,2,"Testudo
hermanni hermanni",reptile,Hermannês tortoises,least concern,IUCN Red List of Endangered Species,0,1,35,15,20,adult,6 months,180,4320,vhf,glued to back,relocation,,local,,,42.039396,9.012935,mediteranean,France,lmm,linear distance traveled,
50,2004,1,habitat use,,1,"Alectoris
chukar",bird,chukar,least concern,IUCN Red List of Endangered Species,0,1,51,30,21,adult,10 months,300,7200,vhf,backpack,relocation,,local,,,45.55,-116.22,Great Basin,USA,Chi- Square,,
51,2009,1,habitat use,,1,Geronticus eremita,bird,northern bald ibis,critically endangered,IUCN Red List of Endangered Species,0,1,3,,,adult,1 year,365,8760,gps,backpack,relocation,,global,,,24.253967,38.914995,Arabian,Syria-Saudi Arabia-Eithopia,,minimum convex polygon,
52,2015,1,habitat use,,1,Homopus signatus,reptile,Namaqualand Speckled Tortoise,threatened,IUCN Red List of Endangered Species,0,1,18,7,11,adult,2 year,720,17280,vhf,glued to back,relocation,,local,,,-32.330981,22.590498,Karoo,South Africa,ANOVA,minimum convex polygon,
53,2003,1,demographics,habitat use,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN Red List of Endangered Species,0,1,90,,,adult,7 years ,2520,60480,vhf,glued to back,relocation,,local,,,36.178239,-114.54113,Mojave,USA,mark-recaputure estimate,,
54,1999,1,behavior,habitat use,2,Vulpes vulpes arabica,large mammal,red fox,least concern,IUCN Red List of Endangered Species,0,1,41,17,18,adult,15 months,455,10920,vhf,collar,relocation,,local,6,,25.271005,46.525544,Arabian,Saudi Arabia,t test,"minimum convex polygon, restricted polygon",
55,2013,1,habitat use,behavior,2,"Pooecetes
gramineus",bird,Vesper Sparrow,least concern,IUCN Red List of Endangered Species,0,1,99,,,adult,51 days,51,1224,vhf,leg band,relocation,,local,,,32.345781,-103.388754,Chihuahuian Desert,Mexico,ANOVA,kernel density estimators,
56,1997,1,habitat use,behavior,2,Falco mexicanus,bird,Prairie Falcons,least concern,IUCN Red List of Endangered Species,1,2,129,,,adult,4 months,120,2880,vhf,backpack,relocation,1986.16,local,,,43.2382,-116.372348,Great Basin,USA,MANOVAS,minimum convex polygon,
57,2008,1,behavior,,1,"Capra ibex
nubiana",large mammal,Nubian ibex,vulnerable,IUCN Red List of Endangered Species,0,1,12,,,adult,3 years,1080,25920,vhf,collar,behavior,,regional,,,21.476394,55.907396,Arabian,Oman,Kruskal_Wallis test,,
58,2006,1,demographics,habitat use,2,Ovis canadensis,large mammal,bighorn sheep,least concern,IUCN Red List of Endangered Species,1,4,51,,,adult,3 years,1080,25920,vhf,collar,relocation,536,regional,7,,33.684357,-111.325687,sonoran,USA,,,
59,2013,1,behavior,thermoregulation,2,Stigmochelys pardalis,reptile,leopard tortoise,least concern,IUCN Red List of Endangered Species,0,1,19,8,11,adult,3 months,90,2160,vhf,glued to back,relocation,55,local,,,-30.676624,24.013089,Karoo,South Africa,regression,,
60,2013,1,habitat use,behavior,2,Canis lupus dingo,large mammal,dingo,vulnerable,IUCN Red List of Endangered Species,0,1,23,,,adult,10 months,300,7200,gps,collar,relocation,,regional,10,,-20.189533,130.01963,tanami desert,Australia,Chi- Square,kernel density estimators,
61,1994,1,behavior,habitat use,2,Macropusr ufu,large mammal,red kangaroo,least concern,IUCN Red List of Endangered Species,0,1,46,,,adult and juvinile,3 years,1080,25920,vhf,collar,relocation,,local,,,-25.317044,118.768221,Gibson,Australia,,"Fourier transform
of the utilization distribution",
62,2015,1,habitat use,,1,Numenius americanus,bird,long-billed curlew,least concern,IUCN Red List of Endangered Species,0,1,4,3,1,adult,2 years,720,17280,gps,leg band,relocation,,regional,,,24.825747,-100.077275,Chihuahuian Desert,Mexico,,"minimum convex polygon, kernel density estimate",
63,2015,1,behavior,habitat use,1,Neophron percnopterus,bird,egyptian vulture,endangered,IUCN Red List of Endangered Species,0,1,19,,,juvinile,4 years,1440,34560,gps,backpack,relocation,,global,10,,9.208155,25.696854,Sahara,"Egypt, Sudan",,minimum convex polygon,
64,2014,1,behavior,habitat use,2,Cladorhynchus leucocephalus,bird,banded stilt,least concern,IUCN Red List of Endangered Species,0,1,21,17,4,adult,7 months,210,5040,gps,leg band,relocation,,regional,,,-31.766201,136.14237,"simpson desert, great victorian desert",Australia,,distances traveled,
65,2010,1,behavior,habitat use,2,Leopardus geoffroyi,large mammal,Geoffroyês cats,least concern,IUCN Red List of Endangered Species,0,1,10,1,9,adult and juvinile,3 months,90,2160,vhf,collar,relocation,,local,10,10,-37.907885,-65.563738,dry pampas,Argentina,,,
66,2006,1,behavior,habitat use,2,Leopardus geoffroyi,large mammal,Geoffroyês cats,least concern,IUCN Red List of Endangered Species,0,1,14,4,10,adult and juvinile,2 years,720,17280,vhf,collar,relocation,,local,,,-37.907885,-65.563738,dry pampas,Argentina,,"adaptive kernel, minimum convex polygon",
67,2005,1,habitat use,behavior,2,Felis silvestris gordoni,large mammal,Gordonês wildcats,locally threatened,IUCN Red List of Endangered Species,0,1,2,1,1,adult,14 months,425,10200,vhf,collar,behavior,,local,,,25.322327,55.513643,Arabian,United Arab Emirates,,minimum convex polygon,
68,2013,1,habitat use,behavior,2,Astrochelys radiata,reptile,radiated tortiose,critically endangered,IUCN Red List of Endangered Species,0,1,23,12,11,adult,4 months,120,2880,vhf,glued to back,relocation,,local,,,-23.351619,43.685493,madagascar spiny desert,madagascar,ANOVA,"adaptive kernel, minimum convex polygon",
69,2015,1,habitat use,,1,Macroscelides micus,small mammal,Etendeka round-eared sengi,least concern,IUCN Red List of Endangered Species,0,1,7,,,adult,1 month,30,720,vhf,collar,relocation,,local,,7,-21.218658,14.867353,Namib,Namibia,,"object restricted-edge polygon, concave polygon analysis, minimum convex polygon",
70,2007,1,methodological,habitat use,2,Eremitalpa granti namibensis,small mammal,golden moles,least concern,IUCN Red List of Endangered Species,0,1,7,,,adult,2 months,60,1440,vhf,collar,relocation,,local,1,,-22.646743,14.600491,Namib,Namibia,,anova,minimum convex polygon
71,2006,1,behavior,thermoregulation,3,Petromus typicus,small mammal,dassie rat,least concern,IUCN Red List of Endangered Species,0,1,9,,,adult,3 years,1080,25920,vhf,collar,behavior,,local,,,-21.420333,15.950559,Namib,Namibia,,minimum convex polygon,
72,2003,1,habitat use,,1,Acanthocercus a. atricollis,reptile,tree agama,least concern,IUCN Red List of Endangered Species,0,1,4,4,0,adult,25 days,25,600,vhf,collar,relocation,,local,,,-25.993417,27.543703,Kalahari,South Africa,ANOVA,,
73,1994,1,behavior,,1,Odocoileus hemionus crooki,large mammal,mule deer,least concern,IUCN Red List of Endangered Species,0,1,34,22,12,adult and juvinile,4 months,120,2880,vhf,collar,behavior,,local,,,30.358492,-103.66101,Chihuahuian Desert,USA,,,
74,2010,1,demographics,behavior,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN Red List of Endangered Species,0,1,74,24,48,adult,5 years,1800,43200,vhf,glued to back,relocation,,local,,,33.466629,-112.031888,sonoran,USA,,,
75,2014,1,behavior,habitat use,2,Myotis ciliola brum,small mammal,western small-footed myotis,least concern,IUCN Red List of Endangered Species,0,1,9,0,9,adult,12 days,12,288,vhf,glued to back,relocation,,local,,9,44.544553,-119.631964,Columbia Basin,USA,t test,,
76,1993,1,behavior,thermoregulation,2,Geopelia cuneata,bird,diamond dove,least concern,IUCN Red List of Endangered Species,1,2,5,,,adult,2 months,60,1440,vhf,tail,behavior,,local,,,-22.369674,124.735913,Great Sandy Desert,Australia,activity budgetting,,
77,2011,1,habitat use,,1,GAMBELIA WISLIZENII,reptile,long-nosed leopard lizard,least concern,IUCN Red List of Endangered Species,0,1,17,10,7,adult and juvinile,5 weeks,30,720,vhf,backpack,relocation,,local,1,16,37.323308,-108.900623,Great Basin,USA,,"minimum convex polygons, kernel estimators",
78,2006,1,behavior,,1,Rhabdomys pumilio,small mammal,striped mouse,least concern,IUCN Red List of Endangered Species,0,1,16,6,10,adult,20 days,20,480,vhf,collar,behavior,,local,,,-29.665462,17.888008,Karoo,South Africa,Spearman rank correlation,grid cell method,
79,2009,1,behavior,,1,Macroscelides proboscideus,small mammal,round eared sengi,least concern,IUCN Red List of Endangered Species,0,1,47,23,24,adult,6 months,180,4320,vhf,collar,behavior,,local,6,,-29.665459,17.887998,Karoo,South Africa,glmm,minimum convex polygon,
80,2013,1,behavior,reproduction,2,Crotalus atrox,reptile,diamond -backed rattlesnake,least concern,IUCN Red List of Endangered Species,0,1,21,0,21,adult,6 years ,2160,51840,vhf,sugical implant,relocation,,local,,,33.031443,-111.387307,sonoran,USA,randomization procedures,,
81,1991,1,behavior,,1,Hystrix indica,small mammal,Indian Creasted Porcupine,least concern,IUCN Red List of Endangered Species,0,1,9,6,3,adult,160 days,160,3840,vhf,collar,relocation,,local,,,32.247033,34.856678,mediteranean,Israel,,convex polygon,
82,2007,1,behavior,,1,Onychognathus tristramii,bird,grackle,least concern,IUCN Red List of Endangered Species,0,3,22,,,adult,12 days,12,288,vhf,backpack,relocation,,local,,,31.527754,35.314245,Judean Desert,Israel,dispersa curves,,
83,2004,1,physiology,,1,Crotalus atrox,reptile,diamond -backed rattlesnake,least concern,IUCN Red List of Endangered Species,0,1,10,,,adult,6 months,180,4320,vhf,surgical implant,data logger,,local,2,8,32.221531,-110.926324,sonoran,USA,RAMONVA,,
84,2011,1,behavior,habitat use,2,Rhinella marina,amphibian,cane toad,least concern,IUCN Red List of Endangered Species,0,1,44,29,15,adult,3 months,90,2160,vhf,backpack,relocation,,local,,,-23.678365,144.308154,simpson,Australia,t test,,
85,1998,1,habitat use,,1,Caracal caracal,large mammal,caracal,least concern,IUCN Red List of Endangered Species,0,1,1,1,0,adult,11 months,330,7920,vhf,collar,relocation,12000,local,1,1,30.755101,39.053407,Arabian,Saudi Arabia,,minimum convex polygon,
86,2012,1,habitat use,behavior,2,dasyurids (3 species),small mammal,"fat-tailed dunnart (Sminthopsis crassicaudata), Gilesê
planigale (P. gilesi) and stripe-faced dunnart (S. macroura).",least concern,IUCN Red List of Endangered Species,0,3,9,9,0,adult,5 months,150,3600,vhf,surgical implant,relocation,,local,,,-32.544166,142.297219,"Strzelecki, simpson deserts",Australia,,minimum convex polygon,
87,1997,1,demographics,,1,Canis latrans,large mammal,coyote,least concern,IUCN Red List of Endangered Species,0,1,41,,,adult and juvinile,2 months,60,1440,vhf,collar,relocation,,local,,41,32.319943,-106.763762,Chihuahuian Desert,USA,,"harmonic-meane stimate, core area of ranges",
88,2012,1,habitat use,demographics,2,"Coluber
constrictor flaviventris",reptile,Eastern Yellow-bellied Racer,least concern,IUCN Red List of Endangered Species,1,2,22,,,adult,4 months,120,2880,vhf,surgical implant,relocation,,local,,,49.030654,-107.691042,semi-arid pairie,Canada,,minimum convex polygon,
89,2001,1,behavior,habitat use,2,Molothrus ater,bird,Brown-headed Cowbird,least concern,IUCN Red List of Endangered Species,0,1,30,0,30,adult,2 years,720,17280,vhf,backpack,relocation,,local,,,35.316788,-104.38655,Chihuahuian Desert,USA,logistic regression,"kernel estimators, minimum convex polygon",
90,1998,1,demographics,behavior,2,Peromyscus truei,small mammal,pinyon mice,least concern,IUCN Red List of Endangered Species,0,1,21,7,14,adult,15 days,15,360,vhf,collar,relocation,,local,,,36.277822,-118.185357,Mojave,USA,t test,harmonic mean analysis,
91,2006,1,habitat use,behavior,2,Anas gracilis,bird,grey teal,least concern,IUCN Red List of Endangered Species,0,1,17,,,adult,1 year,365,8760,gps,backpack,relocation,,regional,,,-28.17291,137.444065,strxelecki desert,Australia,,distances traveled,
92,2008,1,habitat use,behavior,2,Anas gracilis,bird,grey teal,least concern,IUCN Red List of Endangered Species,0,1,12,,,adult,2 years,720,17280,gps,backpack,relocation,,regional,,,-28.17291,137.444065,strxelecki desert,Australia,fractal analysis,distances traveled,
93,1995,1,habitat use,behavior,2,Loxodonta africana,large mammal,african elephant,vulnerable,IUCN Red List of Endangered Species,0,1,2,0,2,adult,22 months,660,15840,gps,collar,relocation,,regional,,,9.571961,14.755324,Sahara,Camaroon,ANOVA,minimum convex polygon,
94,2015,1,habitat use,,1,Phrynosoma blainvillii,reptile,Blainvilleês Horned Lizard,least concern,IUCN Red List of Endangered Species,0,1,20,,,adult,7 months,210,5040,gps,backpack,relocation,4,local,,,35.728311,-119.624865,San Joaquine,USA,,"Minimum convex polygon, convex hull",
95,2016,1,habitat use,,1,"Gopherus
agassizii",reptile,desert tortoise,vulnerable,IUCN Red List of Endangered Species,0,1,46,,,juvinile,2 years,720,17280,vhf,glued to back,relocation,,local,,,35.25394,-115.395608,Mojave,USA,logistic regression,,
96,2016,1,habitat use,demographics,2,Vulpes macrotis arsipus,small mammal,desert kit fox,least concern,IUCN Red List of Endangered Species,0,1,56,,,adult,2 years,720,17280,vhf,collar,relocation,,local,,,33.539262,-115.127709,Mojave,USA,ANOVA,"Minimum convex polygon, fixed kernel",
97,2015,1,methodology,behavior,2,Gopherus agassizii,reptile,desert tortoise,vulnerable,IUCN Red List of Endangered Species,0,1,80,,,adult,8 months,240,5760,vhf,glued to back,relocation,,local,,,35.262852,-116.684568,Mojave,USA,Chi- Square,minimum convex polygon,
